,CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,AGEB,Manzana,CLASE_ACTIVIDAD_ID,EDIFICIO_PISO,SECTOR_ACTIVIDAD_ID,SUBSECTOR_ACTIVIDAD_ID,RAMA_ACTIVIDAD_ID,SUBRAMA_ACTIVIDAD_ID,EDIFICIO,Tipo_Asentamiento,Fecha_Alta,AreaGeo
37,09015722211001453021003286S9,6319031,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,51 a 100 personas,PEATONAL,GUERRERO,395,,GUERRERO  TLATELOLCO,06300,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.14469997,19.45582868,,,,024A,006,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
38,09003722211000843022003286S8,6319032,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,PEATONAL,CIRUELOS,2,,CIPRESES,04830,"COYOACÁN, Coyoacán, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13039306,19.31874582,,,,0889,027,722516,,72,722,7225,72251,,COLONIA,2010-07,090030001
39,09014722211000913021003286S6,6319033,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,51 a 100 personas,AVENIDA,Universidad,0,0,DEL VALLE,03300,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.16452058,19.37095238,,,,0825,003,722516,,72,722,7225,72251,,COLONIA,2010-07,090140001
40,09011722211000373002003286S9,6319034,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,AVENIDA,JUAREZ,160,,ZAPOTITLAN,13300,"TLÁHUAC, Tláhuac, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.04160774,19.29931452,,,,0039,021,722516,,72,722,7225,72251,,COLONIA,2010-07,090110001
41,09015722211001403022003286S4,6319047,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,ISABEL LA CATOLICA,414,,OBRERA,06800,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13928408,19.40906746,,,,1407,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
42,09015722211001353022003286S1,6319049,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,CALLE,TACUBA,74,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13523553,19.43534616,,,,0752,005,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
43,09004722211000213022003286S2,6319052,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,PROLONGACION,PASEO DE LA REFORMA,400,,SANTA FE,01210,"CUAJIMALPA DE MORELOS, Cuajimalpa de Morelos, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.30009081,19.35711543,,,,0091,012,722516,,72,722,7225,72251,,COLONIA,2010-07,090040001
44,09014722211000973022003286S0,6319055,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,51 a 100 personas,AVENIDA,DR. VERTIZ,1136,,NARVARTE,03020,"BENITO JUÁREZ, Benito Juárez, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.15297749,19.38024119,,,,0454,015,722516,,72,722,7225,72251,,COLONIA,2010-07,090140001
45,09015722211001503020003286S1,6319067,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,LINEA 2 DEL METRO ESTACION PINO SUAREZ,0,,CENTRO,06010,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13288257,19.42632129,,,,0907,019,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
46,09017722212016743001003286S0,6232100,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALZADA,IGNACIO ZARAGOZA,270,,SANTA CRUZ AVIACIÓN,15540,"VENUSTIANO CARRANZA, Venustiano Carranza, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.09495105,19.41952257,EDIFICIO COMERCIAL Y DE SERVICIOS,PLAZA AEROPUERTO,11 Y 12,0795,003,722516,,72,722,7225,72251,,COLONIA,2010-07,090170001
47,09007722516000023002003286S0,6232121,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,Benito Juárez,1,0,PRESIDENTES DE MEXICO,09740,"IZTAPALAPA, Iztapalapa, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.06366320,19.33797478,OTRO CONGLOMERADO,PLAZA ZENTRALIA C,,2850,014,722516,,72,722,7225,72251,,COLONIA,2014-12,090070001
48,09012722211000623020003286S5,6232585,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,AVENIDA,ACOXPA,430,0,VERGEL DEL SUR,14340,"TLALPAN, Tlalpan, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.13086951,19.29475877,CENTRO Y PLAZA COMERCIAL,PASEO ACOXPA,11,0708,033,722516,,72,722,7225,72251,,COLONIA,2010-07,090120001
49,09015722211001523001003286S9,6232586,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,31 a 50 personas,CALLE,PLAZA DE LA CONSTITUCIÓN,1,,COLONIA CENTRO,06000,"CUAUHTÉMOC, Cuauhtémoc, CIUDAD DE MÉXICO",,,,Fijo,-99.13243000,19.43279000,,,,0771,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090150001
50,09002722516000063000003286S7,6232722,DOMINO S PIZZA,OPERADORA Y PROCESADORA DE PRODUCTOS DE PANIFICACION SA DE CV,Restaurantes de autoservicio,11 a 30 personas,EJE VIAL,SAN ISIDRO,556,0,SAN PEDRO XALPA,02710,"AZCAPOTZALCO, Azcapotzalco, CIUDAD DE MÉXICO",,,WWW.DOMINOS.COM.MX,Fijo,-99.20821868,19.48494618,,,,1095,001,722516,,72,722,7225,72251,,COLONIA,2010-07,090020001
